date,Open,High,Low,Close,Volume
2015-01-05,14.65,14.95,14.45,14.85,8796.0
2015-01-06,14.75,14.75,14.25,14.65,7024.0
2015-01-07,14.45,14.7,14.4,14.55,4086.0
2015-01-08,14.8,15.2,14.75,14.9,13501.0
2015-01-09,15.2,15.25,14.9,14.95,8651.0
2015-01-12,15.0,15.0,14.6,14.6,4928.0
2015-01-13,14.6,14.8,14.55,14.65,3298.0
2015-01-14,14.6,14.8,14.6,14.75,2408.0
2015-01-15,14.75,14.8,14.55,14.6,2869.0
2015-01-16,14.55,14.65,14.35,14.35,4648.0
2015-01-19,14.4,14.6,14.1,14.2,3671.0
2015-01-20,14.2,14.5,14.2,14.45,2680.0
2015-01-21,14.45,14.55,14.2,14.2,2866.0
2015-01-22,14.2,14.35,14.2,14.3,1831.0
2015-01-23,14.4,14.5,14.3,14.35,2726.0
2015-01-26,14.35,14.45,14.3,14.3,2355.0
2015-01-27,14.35,14.75,14.35,14.6,4825.0
2015-01-28,14.6,14.7,14.45,14.5,1752.0
2015-01-29,14.5,14.55,14.4,14.45,2011.0
2015-01-30,14.5,14.55,14.3,14.3,1661.0
2015-02-02,14.2,14.35,14.15,14.2,2396.0
2015-02-03,14.25,14.35,14.05,14.1,2418.0
2015-02-04,14.2,14.3,14.05,14.1,2239.0
2015-02-05,14.05,14.15,13.95,13.95,2707.0
2015-02-06,14.0,14.1,13.9,13.9,2232.0
2015-02-09,13.9,14.0,13.6,13.7,4665.0
2015-02-10,13.65,13.8,13.6,13.6,2134.0
2015-02-11,13.7,13.85,13.65,13.65,2159.0
2015-02-12,13.65,13.8,13.5,13.55,2935.0
2015-02-13,13.45,13.8,13.4,13.7,4986.0
2015-02-24,13.95,13.95,13.5,13.6,4336.0
2015-02-25,13.7,13.8,13.6,13.75,2523.0
2015-02-26,13.85,13.85,13.7,13.8,1845.0
2015-03-02,13.95,13.95,13.75,13.8,1559.0
2015-03-03,13.9,13.9,13.6,13.6,2721.0
2015-03-04,13.6,13.8,13.6,13.7,2142.0
2015-03-05,13.7,13.8,13.6,13.7,1789.0
2015-03-06,13.8,14.65,13.7,14.65,19596.0
2015-03-09,14.9,15.65,14.75,15.5,41446.0
2015-03-10,15.55,15.7,15.0,15.05,14398.0
2015-03-11,14.9,15.85,14.85,15.75,18797.0
2015-03-12,15.75,16.15,15.35,15.35,17250.0
2015-03-13,15.45,15.7,15.3,15.3,8452.0
2015-03-16,15.5,15.6,15.25,15.25,5812.0
2015-03-17,15.4,15.6,15.15,15.2,6379.0
2015-03-18,15.25,15.3,15.1,15.2,4575.0
2015-03-19,15.45,15.45,15.05,15.05,4539.0
2015-03-20,15.2,15.25,15.0,15.2,5247.0
2015-03-23,15.3,15.7,15.25,15.35,9802.0
2015-03-24,15.4,15.55,15.0,15.05,7856.0
2015-03-25,15.0,15.05,14.8,14.8,5143.0
2015-03-26,14.55,14.95,14.5,14.75,4210.0
2015-03-27,14.75,14.9,14.6,14.75,3928.0
2015-03-30,14.9,14.95,14.5,14.5,4057.0
2015-03-31,14.65,14.7,14.3,14.4,3830.0
2015-04-01,14.5,14.95,14.45,14.75,6439.0
2015-04-02,14.85,15.0,14.65,14.65,3400.0
2015-04-07,14.95,14.95,14.65,14.65,2854.0
2015-04-08,14.65,14.75,14.55,14.55,1795.0
2015-04-09,14.55,14.65,14.25,14.25,3421.0
2015-04-10,14.35,14.4,13.85,14.0,4832.0
2015-04-13,14.1,14.2,14.0,14.15,1712.0
2015-04-14,14.25,14.35,14.15,14.2,1900.0
2015-04-15,14.2,14.4,14.1,14.15,2421.0
2015-04-16,14.25,14.25,14.0,14.05,2697.0
2015-04-17,14.05,14.15,13.95,14.05,2394.0
2015-04-20,14.0,14.1,13.9,13.95,1995.0
2015-04-21,14.0,14.35,14.0,14.1,4027.0
2015-04-22,14.15,14.25,13.95,13.95,2389.0
2015-04-23,14.0,14.2,14.0,14.05,2381.0
2015-04-24,14.1,14.2,14.05,14.15,1861.0
2015-04-27,14.2,14.25,14.05,14.05,2422.0
2015-04-28,14.05,14.25,14.05,14.1,2087.0
